month,horizon_s,current_score,candidate_score,delta,turnover_per_day,active_days
2025-11,30,-5.711006245357686,-5.711006245357686,0.0,7955519.747831333,3
2025-11,120,0.23385626778360802,0.23385626778360802,0.0,21450497.34648633,9
2025-11,300,9.369307168313249,20.64334014784328,11.27403297953003,11896077.838688,13
2025-12,30,45.08735240979167,45.08735240979167,0.0,1075194.8310090322,4
2025-12,120,0.77880515798256,0.77880515798256,0.0,7573668.920442257,9
2025-12,300,-12.199013661438334,-2.096991146905517,10.102022514532816,3969710.566762258,12
2026-01,30,26.298008058501768,26.298008058501768,0.0,8258878.369873548,6
2026-01,120,49.48897270170055,49.48897270170055,0.0,54977610.443823546,12
2026-01,300,38.895571727371376,69.36578894717212,30.470217219800745,23451546.700930327,12
2026-02,30,68.24409608723137,68.24409608723137,0.0,19876404.77406464,18
2026-02,120,43.83841124984275,43.83841124984275,0.0,14729740.930936072,15
2026-02,300,20.231214872672265,47.990640585873976,27.75942571320171,4807921.004398571,13
2026-03,30,4.3661907170836445,4.3661907170836445,0.0,7631325.055296774,7
2026-03,120,1.5320874447981074,1.5320874447981074,0.0,12485536.238302581,16
2026-03,300,-5.546127749325438,17.323309383533424,22.869437132858863,4095090.0601593545,11
2026-04,30,17.457376934421433,17.457376934421433,0.0,2009787.7010285712,5
2026-04,120,10.177921180270104,10.177921180270104,0.0,7351267.376353214,16
2026-04,300,13.354854511225133,14.224450871283045,0.869596360057912,6292157.553266786,16
