horizon_s,days,active_days,active_fraction,positive_active_fraction,median_active_day_score,p05_active_day_score,expected_shortfall_05,worst_day_score,worst_day,worst_5day_score,worst_5day_end
30,179,43,0.24022346368715083,0.813953488372093,18.899206570873847,-23.76371446316505,-51.99665979941299,-90.63946420556555,2026-02-03,-40.88854488655796,2026-03-25
120,179,77,0.4301675977653631,0.6883116883116883,11.044217591443147,-30.839302002128132,-51.04399544651969,-67.96902565827246,2026-03-13,-68.29254786494526,2026-03-13
300,179,77,0.4301675977653631,0.6753246753246753,14.542148342899228,-32.456099734097016,-116.33428145928067,-317.81450055013187,2026-03-23,-319.46088797649065,2026-03-23
